city,date,PM2.5,AQI
Beijing,20140427,56.875,437.9166667
Beijing,20140428,58.33333333,438.8888889
Beijing,20140429,86.95,457.9666667
Beijing,20140430,96.82608696,464.5507246
Beijing,20140501,111.0416667,474.0277778
Beijing,20140502,25,416.6666667
Beijing,20140503,50.875,433.9166667
Beijing,20140504,30.47826087,420.3188406
Beijing,20140505,55.30769231,436.8717949
Beijing,20140507,62.04761905,441.3650794
Beijing,20140508,84.45833333,456.3055556
Beijing,20140509,62.70833333,441.8055556
Beijing,20140510,49.08333333,432.7222222
Beijing,20140511,23.41666667,415.6111111
Beijing,20140512,43,428.6666667
Beijing,20140513,57.625,438.4166667
Beijing,20140514,18.86363636,412.5757576
Beijing,20140515,65.41666667,443.6111111
Beijing,20140516,50.66666667,433.7777778
Beijing,20140517,57.75,438.5
Beijing,20140518,88.70833333,459.1388889
Beijing,20140519,107.9130435,471.942029
Beijing,20140520,89.95238095,459.968254
Beijing,20140521,109.8666667,473.2444444
Beijing,20140522,130.7826087,487.1884058
Beijing,20140523,77.125,451.4166667
Beijing,20140524,83.56521739,455.7101449
Beijing,20140525,64.125,442.75
Beijing,20140526,19.45833333,412.9722222
Beijing,20140527,28.16666667,418.7777778
Beijing,20140528,30.22727273,420.1515152
Beijing,20140529,54.66666667,436.4444444
Beijing,20140530,96.30769231,464.2051282
Beijing,20140531,112.25,474.8333333
Beijing,20140601,47.20833333,431.4722222
Beijing,20140602,29.45833333,419.6388889
Beijing,20140603,38.83333333,425.8888889
Beijing,20140604,59.52173913,439.6811594
Beijing,20140605,62.75,441.8333333
Beijing,20140606,54.7826087,436.5217391
Beijing,20140607,10.69565217,407.1304348
Beijing,20140608,33.69565217,422.4637681
Beijing,20140609,32.26666667,421.5111111
Beijing,20140610,76.16666667,450.7777778
Beijing,20140611,40.33333333,426.8888889
Beijing,20140612,31.65,421.1
Beijing,20140613,58.66666667,439.1111111
Beijing,20140614,45.91666667,430.6111111
Beijing,20140615,119.375,479.5833333
Beijing,20140616,141.125,494.0833333
Beijing,20140617,75.58333333,450.3888889
Beijing,20140618,66.38095238,444.2539683
Beijing,20140619,123.75,482.5
Beijing,20140620,42.875,428.5833333
Beijing,20140621,57.125,438.0833333
Beijing,20140622,35.66666667,423.7777778
Beijing,20140623,24.86956522,416.5797101
Beijing,20140624,60,440
Beijing,20140625,101.9166667,467.9444444
Beijing,20140626,129.0909091,486.0606061
Beijing,20140627,19.20833333,412.8055556
Beijing,20140628,22.04166667,414.6944444
Beijing,20140629,53.95833333,435.9722222
Beijing,20140630,73.54166667,449.0277778
Beijing,20140701,110.4583333,473.6388889
Beijing,20140702,63.65,442.4333333
Beijing,20140703,219.8125,546.5416667
Beijing,20140704,182.7647059,521.8431373
Beijing,20140705,124.1666667,482.7777778
Beijing,20140706,199.25,532.8333333
Beijing,20140707,162.5416667,508.3611111
Beijing,20140708,89.08695652,459.3913043
Beijing,20140709,24.33333333,416.2222222
Beijing,20140710,30.625,420.4166667
Beijing,20140711,32.68181818,421.7878788
Beijing,20140712,14.21052632,409.4736842
Beijing,20140713,20.52173913,413.6811594
Beijing,20140714,29.5,419.6666667
Beijing,20140715,49.33333333,432.8888889
Beijing,20140716,114.7916667,476.5277778
Beijing,20140717,147.3333333,498.2222222
Beijing,20140718,123.8333333,482.5555556
Beijing,20140719,63.47826087,442.3188406
Beijing,20140720,60.45454545,440.3030303
Beijing,20140722,14.41666667,409.6111111
Beijing,20140723,26,417.3333333
Beijing,20140724,71.625,447.75
Beijing,20140725,75.7826087,450.5217391
Beijing,20140726,101.25,467.5
Beijing,20140727,102.4166667,468.2777778
